name,lat,lon
#1. Fleming's Prime Steakhouse (Steakhouses),39.9184269,-75.1366547
#2. Greek Islands Restaurant (Greek),39.074208,21.824312
#3. Tortas Frontera (Mexican),19.4326077,-99.133208
